Name	City	Zip	Score	Non-Smoking	Date	Street
A BETTER CHOICE CDC	MERIDIANVILLE	35759	99	Yes	12/11/2014	8854 Moores Mill Rd
A BUNDLE OF JOY CDC	HUNTSVILLE	35816	98	Yes	9/3/2014	2509 Bronco Circle
ABUNDANCE OF LOVE DAYCARE I	HUNTSVILLE	35811	98	Yes	12/17/2014	2404 Hwy 72 E
ABUNDANCE OF LOVE II	HUNTSVILLE	35811	95	Yes	12/1/2014	101 Dominion Circle
ALABAMA A&M CHILD DEVELOPMENT CTR	HUNTSVILLE	35810	96	Yes	12/12/2014	4900 Meridian Street
ALL GOD'S CHILDREN NURSERY & CHILDCARE CENTER	HUNTSVILLE	35810	96	Yes	11/19/2014	3815 Oakwood Ave
APPLETREE CHILD DEVELOPMENT CENTER	BROWNSBORO	35741	98	Yes	3/16/2015	4215 Hwy 72 E
ASCENSION LUTHERAN CDC	HUNTSVILLE	35810	97	Yes	1/22/2015	3803 Oakwood Ave NW
BEGINNINGS OF EXCELLENCE	HUNTSVILLE	35810	94	Yes	1/9/2015	10128 N. Memorial Pkwy
BYRD'S PLAYHOUSE & CHRISTIAN LEARNING CENTER	MADISON	35758	95	Yes	2/5/2015	100 Spenryn Dr
CHILDCARE NETWORK # 49	HUNTSVILLE	35806	96	Yes	10/9/2014	6210 Robinhood Lane
CHILDREN'S FIRST CHRISTIAN ACADEMY	MADISON	35758	96		3/10/2015	100 Castle Dr.
CHILDREN'S HOUSE OF MONTESSORI	HUNTSVILLE	35801	88	Yes	10/28/2014	2605 Leeman Ferry Rd
COLLABORATIONS CHILD DEVELOPMENT CENTER	HUNTSVILLE	35824	96	Yes	1/5/2015	100 Jetplex Blvd.
COMMUNITY BAPTIST CHURCH CHILD DEV	HARVEST	35749	99	Yes	3/4/2015	408 Clutts Rd
COVENANT CLASSICAL SCHOOL	HUNTSVILLE	35806	98	Yes	3/20/2015	220 Exchange Place
DEBORAH'S DAYCARE & KINDERGARTEN	HUNTSVILLE	35816	95	Yes	12/5/2014	2402 Hammonds Ave
DOROTHANY'S DARLINGS DAY CARE	MADISON	35758	99	Yes	10/30/2014	1539 Slaughter Road
ENDEAVER CHILD DEVELOPMENT CENTER	HARVEST	35749	98	Yes	2/17/2015	105 Bridges Dr.
FIRST BAPTIST CHILD DEVELOPMENT CENTER	MADISON	35758	96	Yes	3/4/2015	4257 Sullivan Street
FIRST BAPTIST CHURCH DAYCARE	HUNTSVILLE	35801	99	Yes	6/17/2014	600 Governors Dr SW
FIRST CHRISTIAN CHURCH	HUNTSVILLE	35802	98	Yes	12/17/2014	3209 Whitesburg Drive
FIRST MISSIONARY BAPTIST CHURCH	HUNTSVILLE	35810	99	Yes	12/16/2014	3509 Blue Spring Rd
FIRST UNITED METH CHURCH WESLEY CTR	HUNTSVILLE	35801	95	Yes	8/26/2014	120 Greene St
GROWING SMILES DAYCARE CTR	HUNTSVILLE	35810	96	Yes	8/21/2014	6025 Mastin Lake Rd
HILLWOOD BAPTIST PRESCHOOL	HUNTSVILLE	35803	98	Yes	12/15/2014	300 Kohler Rd SE
JACKSON WAY CHILD DEVELOPMENT CENTER	HUNTSVILLE	35801	97	Yes	12/4/2014	1001 Andrew Jackson Way
JUMPING JACKS PRESCHOOL & DAYCARE, LLC	OWENS CROSS ROADS	35763	94	Yes	10/30/2014	7255 Hwy 431 S
KID'S KINGDOM	HUNTSVILLE	35802	98	Yes	12/1/2014	111 Lily Flagg Rd
KID'S KINGDOM	HUNTSVILLE	35805	94	Yes	1/29/2015	4600 Bob Wallace Ave
KID'S SPACE PALACE	HUNTSVILLE	35811	98	Yes	1/7/2015	222 Homer Nance Rd
KIDDIE KOLLEGE	HUNTSVILLE	35816	97	Yes	11/10/2014	3801 Holmes Ave
KIDS CARE - TONEY	TONEY	35773	98	Yes	1/13/2015	4556 Jeff Rd
KIDS CARE HAZEL GREEN	HAZEL GREEN	35750	99	Yes	1/13/2015	15320 Hwy 231/431 N
KIDS JUNCTION IN THE COVE, LLC	OWENS CROSS ROADS	35763	95	Yes	10/30/2014	627 Wade Rd
KIDS PLACE	TONEY	35773	96	Yes	1/13/2015	905 Rolan Gooch Rd
LA PETITE ACADEMY	MADISON	35758	96	Yes	11/14/2014	103 West Dublin Dr
LAPETITE ACADEMY	HUNTSVILLE	35805	98	Yes	10/17/2014	5045 Technology Drive
LIL ANGELS CHILD DEVELOPMENT CENTER II	HARVEST	35749	98	Yes	2/24/2015	117 McKee Rd
MADISON FREE WILL BAP CHURCH DAYCARE	MADISON	35758	96	Yes	12/11/2014	5295 Wall Triana
MAYFAIR CHURCH OF CHRIST	HUNTSVILLE	35802	99	Yes	12/16/2014	1095 Carl T. Jones Drive
MISS ANGELA'S PRESCHOOL	HUNTSVILLE	35803	99	Yes	3/2/2015	10020 Blanda Drive
NEW SALEM BAPTIST CHURCH CHILD DEV. CENTER	OWENS CROSS ROADS	35763	96	Yes	10/9/2014	314 James Rd.
NITA'S DAY CARE CENTER	HUNTSVILLE	35810	99	Yes	12/17/2014	3224 Teton Dr
NORTH HILLS EARLY CHILDHOOD CENTER	MERIDIANVILLE	35759	100	Yes	10/24/2014	11319 Highway 231/431 N
PREMIER PRESCHOOL OF CRP	HUNTSVILLE	35805	90	Yes	12/2/2014	5095 Premier Dr
PROGRESSIVE UNION M.B. CHILD DEVELOPMENT CENTER	HUNTSVILLE	35816	99	Yes	3/4/2015	1919 Brandon Town Rd
RAINBOW CHILD CARE CENTER	HUNTSVILLE	35803	96	Yes	12/5/2014	12920 Bailey Cove Rd
RAINBOW CHILD CARE CENTER	HUNTSVILLE	35805	95	Yes	12/30/2014	5014 Bradford Dr
RAINBOW DAY CARE CENTER INC	MADISON	35757	97	Yes	1/5/2015	236 Capshaw Rd
SLAUGHTER ROAD CHILD DEVELOPMENT CTR	MADISON	35758	97	Yes	1/9/2015	9 Eastview
ST. LUKE MISSIONARY BAPTIST CHURCH	HUNTSVILLE	35816	94	Yes	1/26/2015	1800 Sparkman  Drive
ST. MARK CHILD DEVELOPMENT CTR	HUNTSVILLE	35811	99	Yes	3/13/2015	6475 Moores Mill Rd
ST. STEPHENS CDC	HUNTSVILLE	35802	100	Yes	11/25/2014	8020 Whitesburg Dr
STEPPING STONES  LEARNING  CENTER	HUNTSVILLE	35803	99	Yes	2/10/2015	12815 S. Memorial Pkwy
SUNFLOWER STATION PRESCHOOL	HUNTSVILLE	35801	97	Yes	3/20/2015	3065 Leeman Ferry Rd
TAYLOR MADE KIDZ CHRISTIAN ACADEMY	HUNTSVILLE	35811	98	Yes	2/27/2015	3401 Meridian Street
THE ACAD FOR LEARNING  & CHARACTER DEV	HUNTSVILLE	35805	91	Yes	12/3/2014	3807 Telstar Circle
THE MONTESSORI SCHOOL OF HUNTSVILLE	HUNTSVILLE	35803	97	Yes	9/17/2014	15975 Chaney Thompson Road
UNION CHAPEL MB CHURCH CHILD DEV CTR	HUNTSVILLE	35811	98	Yes	10/27/2014	315-A Winchester Rd
UNION HILL PRIMITIVE BAPTIST CHURCH, CDC	HUNTSVILLE	35810	100	Yes	12/4/2014	2115 Winchester Road
VISIONS OF LEARNING ACADEMY	HUNTSVILLE	35816	97	Yes	8/25/2014	1622 Pulaski Pike
WHITESBURG BAPTIST CHURCH DAYCARE	HUNTSVILLE	35802	94	Yes	11/13/2014	6806 Whitesburg Drive
YOUNG WORLD CHRISTIAN ACDEMY	HUNTSVILLE	35816	91	Yes	8/19/2014	2121 Jordan Lane
