Name	City	Zip	Score	Non-Smoking	Date	Street
24/7 HEALTH CLUB	HUNTSVILLE	35811	97	Yes	6/11/2014	3490 Harris Hill Blvd
2424 INC	HUNTSVILLE	35816	93	Yes	1/2/2015	2424 Jordan Lane
3-RIVERS FARMER MARKET (ROWE INC.)	HUNTSVILLE	35811	99		9/12/2014	2421 Winchester Road
32 DEGREES A YOGURT BAR	MADISON	35758	99	Yes	10/21/2014	7690 Highway 72 West, Suite 10
72 QUICK STOP	GURLEY	35748	96		12/1/2014	6270 Hwy 72 East
A & C AMOCO	MADISON	35758	91	Yes	7/15/2014	7150 US Hwy 72 W
ABSOLUTE NUTRITION	MADISON	35758	98	Yes	1/12/2015	7449 Highway 72 West Suite B
ACCESSCORP SECURITIES LLC: TEXACO N/ PARKWAY	HUNTSVILLE	35810	96	Yes	1/13/2015	3030 Memorial Pkwy NW
AJ'S FUEL CITY, LLC	HUNTSVILLE	35802	95	Yes	1/15/2015	11431 S. Memorial Pkwy
AL SPACE SCIENCE EXHIBIT COMMISSION	HUNTSVILLE	35805	98	Yes	1/9/2015	One Tranquility Base
ALABAMA BLUES HOT DOGS-COMMISSARY	MADISON	35758	96		2/27/2015	9076 Madison Blvd J
ALABAMA BLUES HOT DOGS-MOBILE	MADISON	35758	96		2/27/2015	9076 Madison Blvd J
ALAMAL PIZZA, INC., DBA MARCO'S PIZZA	MADISON	35758	92	Yes	1/21/2015	7559 Hwy. 72 W Suite 101
AMBE SHREE LLC DBA SUPER 8 MOTEL	HUNTSVILLE	35816	97	Yes	10/22/2014	3803 University Drive
AMERICA'S BEST INN (CONTINENTAL BREAKFAST)	HUNTSVILLE	35801	99	Yes	11/20/2014	1304 N. Memorial Pkwy
ANGEL'S ISLAND COFFEE	HUNTSVILLE	35802	92	Yes	1/28/2015	7538 S Memorial Parkway
ANGEL'S TOUCH CAFÉ' DBA HALO ENT LLC	HUNTSVILLE	35801	94	Yes	4/23/2014	3601 CCI Drive
