Name	City	Zip	Score	Non-Smoking	Date	Street
ALDI GROCERY STORE # 80	HUNTSVILLE	35803	99	Yes	12/11/2014	11909 South Memorial Pkwy
ALDI GROCERY STORE # 81	HUNTSVILLE	35816	94	Yes	1/30/2015	4710 University Dr R-1
ALDI GROCERY STORE # 97	MADISON	35758	94	Yes	1/30/2015	7676 Hwy 72 W
CANDLEWOOD HOTEL (LIMITED RETAIL STORE)	HUNTSVILLE	35806	97	Yes	9/5/2014	201 Exchange Place
CHANG KO ORIENTAL MARKET	HUNTSVILLE	35802	91	Yes	2/4/2015	8402 Whitesburg Drive
CHOI'S ORIENTAL	HUNTSVILLE	35805	90	Yes	6/30/2014	402 Jordan Lane
COLONIAL GOLF COURSE	MERIDIANVILLE	35759	96	Yes	9/5/2014	400 Colonial Dr
COSTCO WHOLESALE # 356 (RETAIL)	HUNTSVILLE	35801	97	Yes	6/20/2014	1205 N. Memorial Pkwy
CVS/PHARMACY # 1774	HUNTSVILLE	35806	95	Yes	12/18/2014	100 Providence Main St
CVS/PHARMACY # 2748	HUNTSVILLE	35811	97	Yes	12/10/2014	930 Winchester Road
CVS/PHARMACY # 4881	HUNTSVILLE	35802	94	Yes	3/9/2015	2001 Cecil Ashburn Drive
CVS/PHARMACY # 4884	MADISON	35758	93	Yes	1/29/2015	8503 Old Madison Pike
CVS/PHARMACY # 4899	HUNTSVILLE	35801	95	Yes	12/5/2014	2212 Whitesburg Dr
CVS/PHARMACY # 4908	HUNTSVILLE	35810	96	Yes	12/4/2014	2525 Oakwood Ave
CVS/PHARMACY # 4924	HUNTSVILLE	35805	94	Yes	12/5/2014	3115 Bob Wallace Ave.
CVS/PHARMACY # 5316	MERIDIANVILLE	35759	96	Yes	12/8/2014	12275 Hwy 231/431 N
CVS/PHARMACY # 5413	HUNTSVILLE	35811	100	Yes	12/10/2014	2210 Winchester Road
CVS/PHARMACY # 7155	MADISON	35758	97	Yes	1/14/2015	8470 Hwy 72 West
DOLLAR GENERAL # 10566	HUNTSVILLE	35803	96	Yes	7/10/2014	12879 Memorial Pkwy SW
DOLLAR GENERAL # 10745	HUNTSVILLE	35806	95	Yes	5/20/2014	1935 Jeff Road NW
DOLLAR GENERAL # 10806	TONEY	35773	93	Yes	7/23/2014	8810 Hwy 53 N
DOLLAR GENERAL # 10857	HUNTSVILLE	35810	93	Yes	7/23/2014	136 Countess Road
