Name	City	Zip	Score	Non-Smoking	Date	Street
A & V SEAFOOD MARKET	HUNTSVILLE	35802	95	Yes	12/19/2014	2000 Cecil Ashburn Dr. Suite 1
COSTCO WHOLESALE # 356 (MEAT)	HUNTSVILLE	35801	99	Yes	3/16/2015	1205 N. Memorial Pkwy
EARTH FARE # 510 (MEAT)	HUNTSVILLE	35806	96	Yes	11/18/2014	5900 University Drive # C
EARTH FARE # 510 (SEAFOOD)	HUNTSVILLE	35806	97	Yes	11/18/2014	5900 University Drive  #C
FAR EAST MARKET	HUNTSVILLE	35802	88	Yes	11/25/2014	8108 S. Mem. Pkwy
FOOD VALU (MEAT)	HUNTSVILLE	35811	97	Yes	12/1/2014	1762 Winchester Road
GRINER'S FOODLAND (MEAT)	HAZEL GREEN	35750	99	Yes	2/18/2015	14470 Hwy 231/431 N
HOLIDAY FOOD (MEAT)	HUNTSVILLE	35816	92	Yes	3/13/2015	2701 Patton Road Suite A
INTERNATIONAL SUPERMARKET	MADISON	35758	92	Yes	3/18/2015	8006 Old Madison Pike Ste #7
JAMO'S GROCERY	HUNTSVILLE	35805	95	Yes	7/29/2014	504 Jordan Lane, Suite G&H
JOHN'S BIG BROTHER FOODS (MEAT)	HUNTSVILLE	35816	94	Yes	1/22/2015	4008 Holmes Ave
KROGER STORE # 505 (MEAT)	MADISON	35758	96	Yes	12/4/2014	300 Hughes Rd
KROGER STORE # 508 (SEAFOOD)	HUNTSVILLE	35810	95	Yes	11/14/2014	2110 Oakwood Ave
KROGER STORE # 517 (MEAT)	HUNTSVILLE	35811	97	Yes	11/20/2014	6070 Moores Mill Road
KROGER STORE # 517 (SEAFOOD)	HUNTSVILLE	35811	98	Yes	11/20/2014	6070 Moores Mill Road
KROGER STORE # 552 (MEAT)	HUNTSVILLE	35801	95	Yes	2/2/2015	2009 Drake Ave
KROGER STORE # 552 (SEAFOOD)	HUNTSVILLE	35801	95	Yes	2/2/2015	2009 Drake Ave
KROGER STORE # 677 (MEAT)	HUNTSVILLE	35806	97		12/19/2014	7090 University Drive
KROGER STORE # 677 (SEAFOOD)	HUNTSVILLE	35806	97		12/19/2014	7090 University Drive
KROGER STORE # 849 (MEAT)	HUNTSVILLE	35802	94	Yes	11/18/2014	8404 S. Memorial Pkwy
KROGER STORE # 849 (SEAFOOD)	HUNTSVILLE	35802	94	Yes	11/18/2014	8404 S. Memorial Pkwy
LA FERIA (MEAT)	HUNTSVILLE	35805	95	Yes	10/8/2014	3228 Bob Wallace
LA FRONTERA (MEAT MARKET)	HUNTSVILLE	35805	90		1/22/2015	2315 Ste C Jordan Lane SW
LA LUMINARIA (MEAT MARKET)	HUNTSVILLE	35806	88	Yes	10/28/2014	2900 Triana Blvd. Suite E
LA NOCHE BUENA (MEAT)	HUNTSVILLE	35816	88	Yes	9/4/2014	1109 Jordan Lane
LUCKY'S SUPERMARKET # 18 (MEAT)	HUNTSVILLE	35810	95	Yes	1/9/2015	3423 Pulaski Pike
PIGGLY WIGGLY # 82 (MEAT)	NEW HOPE	35760	98	Yes	3/19/2015	10199 Hwy 431
PIGGLY WIGGLY # 84 (MEAT)	GURLEY	35748	95	Yes	2/9/2015	6022 Hwy 72 E
PUBLIX SUPER MARKET # 1126 (MEAT)	HUNTSVILLE	35811	98	Yes	3/13/2015	2246 Winchester Road NE
PUBLIX SUPER MARKET # 1126 (SEAFOOD)	HUNTSVILLE	35811	100	Yes	3/13/2015	2246 Winchester Road NE
PUBLIX SUPER MARKET # 1190 (MEAT)	MERIDIANVILLE	35759	98	Yes	3/19/2015	12290 Highway 231/431 North
