Name	City	Zip	Score	Non-Smoking	Date	Street
GRACE LUTHERAN CHURCH & SCHOOL	HUNTSVILLE	35801	99	Yes	3/2/2015	3321 S. Memorial Parkway
HOLY FAMILY SCHOOL	HUNTSVILLE	35816	99	Yes	2/9/2015	2300 Beasley Ave
HOLY SPIRIT REGIONAL SCHOOL	HUNTSVILLE	35802	99	Yes	2/11/2015	619 Airport Rd
LITTLE MADISON ACADEMY	HUNTSVILLE	35806	98	Yes	2/19/2015	7547 Old Madison Pike
MADISON ACADEMY	MADISON	35758	99	Yes	2/19/2015	325 Slaughter Rd
RAINBOW CHILD CARE CENTER	HAMPTON COVE	35763	97	Yes	12/5/2014	351 Old Hwy 431
RANDOLPH SCHOOL	HUNTSVILLE	35802	100	Yes	2/12/2015	1005 Drake Avenue
RANDOLPH UPPER SCHOOL	HUNTSVILLE	35802	100	Yes	2/17/2015	4915 Garth Road
ST. JOHN THE BAPTIST CATHOLIC SCHOOL	MADISON	35758	98	Yes	2/18/2015	1057 Hughes Rd
UNION CHAPEL CHRISTIAN ACADEMY	HUNTSVILLE	35811	98	Yes	2/24/2015	315-B Winchester  Road
VALLEY FELLOWSHIP CHRISTIAN ACADEMY	HUNTSVILLE	35816	97	Yes	2/23/2015	3616 Holmes Ave
WESTMINSTER CHRISTIAN ACADEMY EDUCATION BUILDING	HUNTSVILLE	35806	97	Yes	2/24/2015	237  A Johns Road
