Name	City	Zip	Score	Non-Smoking	Date	Street
ACADEMY FOR ACADEMICS AND ARTS	HUNTSVILLE	35816	97	Yes	2/9/2015	2800 Poplar Avenue
BLOSSOMWOOD ELEMENTARY	HUNTSVILLE	35801	99	Yes	2/18/2015	1321 Woodmont Avenue
BOB JONES HIGH SCHOOL	MADISON	35758	98	Yes	2/10/2015	650 Hughes Road
BUCKHORN HIGH SCHOOL	NEW MARKET	35761	100	Yes	2/12/2015	4123 Winchester Road
BUCKHORN MIDDLE SCHOOL	NEW MARKET	35761	100	Yes	2/12/2015	4185 Winchester Road
BUTLER HIGH SCHOOL	HUNTSVILLE	35816	97	Yes	2/20/2015	3401 Holmes Avenue
CENTRAL SCHOOL	HUNTSVILLE	35811	97	Yes	2/12/2015	990 Ryland Pike
CHAFFEE ELEMENTARY	HUNTSVILLE	35802	97	Yes	2/9/2015	7900 Whittier Road
CHALLENGER ELEMENTARY/MIDDLE	HUNTSVILLE	35803	96	Yes	2/9/2015	13555 Chaney Thompson Road
CHAPMAN ELEMENTARY/ MIDDLE	HUNTSVILLE	35811	90	Yes	2/2/2015	2006 Reuben Drive
COLUMBIA ELEMENTARY SCHOOL	MADISON	35758	97	Yes	2/24/2015	667 Balch Road
COLUMBIA HIGH SCHOOL	HUNTSVILLE	35816	96	Yes	2/13/2015	300 Explorer Blvd.
DISCOVERY MIDDLE SCHOOL	MADISON	35758	98	Yes	2/10/2015	1304 Hughes Road
ENDEAVOR SCHOOL	HARVEST	35749	99	Yes	2/17/2015	1997 Old Railroad Bed Road
FARLEY ELEMENTARY	HUNTSVILLE	35803	98	Yes	2/10/2015	2900 Green Cove Road
GOLDSMITH-SCHIFFMAN ELEMENTARY SCHOOL (ATTN:  CPN)	BIG COVE	35763	98	Yes	2/19/2015	1210 Taylor Road
GRISSOM HIGH	HUNTSVILLE	35802	95	Yes	2/18/2015	7901 Bailey Cove Road
HAMPTON COVE ELEMENTARY/MIDDLE	HAMPTON COVE	35763	98	Yes	2/13/2015	261 Old 431 Hwy
HARVEST SCHOOL	HARVEST	35749	100	Yes	2/9/2015	8845 Wall Triana Hwy
HAZEL GREEN ELEMENTARY SCHOOL	HAZEL GREEN	35750	97	Yes	2/3/2015	14250 Hwy 231/431 N
HAZEL GREEN HIGH SCHOOL	HAZEL GREEN	35750	99	Yes	2/6/2015	14380 Hwy 231/431 N
HERITAGE ELEMENTARY SCHOOL	MADISON	35758	96	Yes	2/12/2015	11775 County Line Road
HIGHLANDS ELEMENTARY	HUNTSVILLE	35810	97	Yes	2/6/2015	2500 Barney Terrace
HORIZON ELEMENTARY SCHOOL	MADISON	35758	97	Yes	2/19/2015	7855 Old Madison Pike
HUNTSVILLE HIGH SCHOOL	HUNTSVILLE	35801	99	Yes	2/13/2015	2304 Billie Watkins Drive
HUNTSVILLE MIDDLE	HUNTSVILLE	35801	99	Yes	2/18/2015	817 Adams Street
JAMES I DAWSON ELEMENTARY	HUNTSVILLE	35810	94	Yes	2/11/2015	5308 Mastin Lake Road
JOHNSON HIGH SCHOOL	HUNTSVILLE	35810	95	Yes	2/19/2015	6201 Pueblo Drive
JONES VALLEY ELEMENTARY	HUNTSVILLE	35802	98	Yes	2/11/2015	4908 Garth Road
LAKEWOOD ELEMENTARY	HUNTSVILLE	35810	94	Yes	2/13/2015	3501 Kenwood Drive
LEE HIGH SCHOOL	HUNTSVILLE	35811	97		2/11/2015	2500 Meridian Street
LEGACY ELEMENTARY SCHOOL	MADISON	35758	99	Yes	2/13/2015	165 Pine Grove Road
LIBERTY MIDDLE SCHOOL	MADISON	35758	97	Yes	2/12/2015	281 Dock Murphy Drive
LYNN FANNING SCHOOL	MERIDIANVILLE	35759	99	Yes	2/24/2015	8861 Moores Mill Road
MADISON CITY PRE-K CENTER	MADISON	35758	97	Yes	1/9/2015	74 Nance Road
MADISON COUNTY ELEMENTARY	GURLEY	35748	92	Yes	2/12/2015	173 Wood Street
MADISON COUNTY HIGH SCHOOL	GURLEY	35748	98	Yes	2/9/2015	174 Brock Road
MADISON CROSS ROAD  ELEMENTARY	TONEY	35773	97	Yes	2/12/2015	11548 Pulaski Pike
MADISON ELEMENTARY SCHOOL	MADISON	35758	97	Yes	2/18/2015	17 College Street
MARTIN LUTHER KING JR. ELEMENTARY	HUNTSVILLE	35811	96	Yes	2/13/2015	3112 Meridian Street
MCDONNELL ELEMENTARY	HUNTSVILLE	35805	97	Yes	2/12/2015	4010 Binderton Place
MCNAIR JR HIGH/ ASFL	HUNTSVILLE	35810	96	Yes	2/11/2015	3221 Mastin Lake Road
